"countryName","countryNameEs","countryCode","stateName","stateNameEs","stateCode","municipalityName","municipalityNameEs","municipalityCode","parishName","parishNameEs","parishCode"
"#country+name","#country+name+es","#country+code","#adm1+name","#adm1+name+es","#adm1+code","#adm2+name","#adm2+name+es","#adm2+code","#adm3+name","#adm3+name+es","#adm3+code"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Andrés Bello","Andrés Bello","VE0101","Capital Andrés Bello","Capital Andrés Bello","VE010101"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Antonio Rómulo Costa","Antonio Rómulo Costa","VE0102","Antonio Rómulo Acosta","Antonio Rómulo Acosta","VE010201"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Ayacucho","Ayacucho","VE0103","Ayacucho","Ayacucho","VE010301"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Ayacucho","Ayacucho","VE0103","Rivas Berti","Rivas Berti","VE010302"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Ayacucho","Ayacucho","VE0103","San Pedro del Rio","San Pedro del Rio","VE010303"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Bolívar","Bolívar","VE0104","Bolívar","Bolívar","VE010401"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Bolívar","Bolívar","VE0104","Palotal","Palotal","VE010402"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Bolívar","Bolívar","VE0104","Juan Vicente Gómez","Juan Vicente Gómez","VE010403"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Bolívar","Bolívar","VE0104","Isaías Medina Angarita","Isaías Medina Angarita","VE010404"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Cárdenas","Cárdenas","VE0105","Cárdenas","Cárdenas","VE010501"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Cárdenas","Cárdenas","VE0105","Amenodoro Rangel Lamus","Amenodoro Rangel Lamus","VE010502"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Cárdenas","Cárdenas","VE0105","La Florida","La Florida","VE010503"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Córdoba","Córdoba","VE0106","Capital Córdoba","Capital Córdoba","VE010601"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Fernández Feo","Fernández Feo","VE0107","Fernández Feo","Fernández Feo","VE010701"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Fernández Feo","Fernández Feo","VE0107","Alberto Adriani","Alberto Adriani","VE010702"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Fernández Feo","Fernández Feo","VE0107","Santo Domingo","Santo Domingo","VE010703"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Francisco de Miranda","Francisco de Miranda","VE0108","San José de Bolívar","San José de Bolívar","VE010801"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","García de Hevia","García de Hevia","VE0109","García de Hevia","García de Hevia","VE010901"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","García de Hevia","García de Hevia","VE0109","Boca de Grita","Boca de Grita","VE010902"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","García de Hevia","García de Hevia","VE0109","José Antonio Páez","José Antonio Páez","VE010903"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Guásimos","Guásimos","VE0110","Capital Guasimos","Capital Guasimos","VE011001"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Independencia","Independencia","VE0111","Independencia","Independencia","VE011101"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Independencia","Independencia","VE0111","Juan Germán Roscio","Juan Germán Roscio","VE011102"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Independencia","Independencia","VE0111","Román Cárdenas","Román Cárdenas","VE011103"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Jáuregui","Jáuregui","VE0112","Jáuregui","Jáuregui","VE011201"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Jáuregui","Jáuregui","VE0112","Emilio Constantino Guerrero","Emilio Constantino Guerrero","VE011202"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Jáuregui","Jáuregui","VE0112","Monseñor Miguel Antonio Salas","Monseñor Miguel Antonio Salas","VE011203"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","José María Vargas","José María Vargas","VE0113","Vargas","Vargas","VE011301"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Junín","Junín","VE0114","Junín","Junín","VE011401"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Junín","Junín","VE0114","La Petrolea","La Petrolea","VE011402"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Junín","Junín","VE0114","Quinimari","Quinimari","VE011403"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Junín","Junín","VE0114","Bramon","Bramon","VE011404"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Libertad","Libertad","VE0115","Libertad","Libertad","VE011501"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Libertad","Libertad","VE0115","Cipriano Castro","Cipriano Castro","VE011502"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Libertad","Libertad","VE0115","Manuel Felipe Rugeles","Manuel Felipe Rugeles","VE011503"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Libertador","Libertador","VE0116","Libertador","Libertador","VE011601"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Libertador","Libertador","VE0116","Emeterio Ochoa","Emeterio Ochoa","VE011602"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Libertador","Libertador","VE0116","Doradas","Doradas","VE011603"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Libertador","Libertador","VE0116","San Joaquín de Navay","San Joaquín de Navay","VE011604"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Lobatera","Lobatera","VE0117","Lobatera","Lobatera","VE011701"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Lobatera","Lobatera","VE0117","Constitución","Constitución","VE011702"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Michelena","Michelena","VE0118","Capital Michelena","Capital Michelena","VE011801"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Panamericano","Panamericano","VE0119","Panamericano","Panamericano","VE011901"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Panamericano","Panamericano","VE0119","La Palmita","La Palmita","VE011902"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Pedro María Ureña","Pedro María Ureña","VE0120","Pedro María Ureña","Pedro María Ureña","VE012001"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Pedro María Ureña","Pedro María Ureña","VE0120","Nueva Arcadia","Nueva Arcadia","VE012002"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Rafael Urdaneta","Rafael Urdaneta","VE0121","Delicias","Delicias","VE012101"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Samuel Darío Maldonado","Samuel Darío Maldonado","VE0122","Samuel Darío Maldonado","Samuel Darío Maldonado","VE012201"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Samuel Darío Maldonado","Samuel Darío Maldonado","VE0122","Boconó","Boconó","VE012202"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Samuel Darío Maldonado","Samuel Darío Maldonado","VE0122","Hernández","Hernández","VE012203"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","San Cristóbal","San Cristóbal","VE0123","La Concordia","La Concordia","VE012301"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","San Cristóbal","San Cristóbal","VE0123","Pedro María Morantes","Pedro María Morantes","VE012302"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","San Cristóbal","San Cristóbal","VE0123","San Juan Bautista","San Juan Bautista","VE012303"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","San Cristóbal","San Cristóbal","VE0123","San Sebastián","San Sebastián","VE012304"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","San Cristóbal","San Cristóbal","VE0123","Dr. Francisco Romero Lobo","Dr. Francisco Romero Lobo","VE012305"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Seboruco","Seboruco","VE0124","Capital Seboruco","Capital Seboruco","VE012401"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Simón Rodríguez","Simón Rodríguez","VE0125","Simón Rodríguez","Simón Rodríguez","VE012501"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Sucre","Sucre","VE0126","Sucre","Sucre","VE012601"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Sucre","Sucre","VE0126","Eleazar López Contreras","Eleazar López Contreras","VE012602"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Sucre","Sucre","VE0126","San Pablo","San Pablo","VE012603"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Torbes","Torbes","VE0127","Torbes","Torbes","VE012701"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Uribante","Uribante","VE0128","Uribante","Uribante","VE012801"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Uribante","Uribante","VE0128","Cárdenas","Cárdenas","VE012802"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Uribante","Uribante","VE0128","Juan Pablo Peñaloza","Juan Pablo Peñaloza","VE012803"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","Uribante","Uribante","VE0128","Potosí","Potosí","VE012804"
"Venezuela","Venezuela","VE","Táchira","Táchira","VE01","San Judas Tadeo","San Judas Tadeo","VE0129","San Judas Tadeo","San Judas Tadeo","VE012901"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Almirante Padilla","Almirante Padilla","VE0201","Isla de Toas","Isla de Toas","VE020101"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Almirante Padilla","Almirante Padilla","VE0201","Monagas","Monagas","VE020102"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Baralt","Baralt","VE0202","San Timoteo","San Timoteo","VE020201"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Baralt","Baralt","VE0202","General Urdaneta","General Urdaneta","VE020202"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Baralt","Baralt","VE0202","Libertador","Libertador","VE020203"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Baralt","Baralt","VE0202","Manuel Guanipa Matos","Manuel Guanipa Matos","VE020204"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Baralt","Baralt","VE0202","Marcelino Briceño","Marcelino Briceño","VE020205"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Baralt","Baralt","VE0202","Pueblo Nuevo","Pueblo Nuevo","VE020206"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Cabimas","Cabimas","VE0203","Ambrosio","Ambrosio","VE020301"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Cabimas","Cabimas","VE0203","Carmen Herrera","Carmen Herrera","VE020302"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Cabimas","Cabimas","VE0203","Germán Ríos Linares","Germán Ríos Linares","VE020303"
"Venezuela","Venezuela","VE","Zulia","Zulia","VE02","Cabimas","Cabimas","VE0203","La Rosa","La Rosa","VE020304"
